,Sentence #,Word,Tag,Dictionary
0,Sentence: 1,นาย,O,front_person
1,Sentence: 1,ปองพล,per,NO
2,Sentence: 1,อดิเรกสาร,O,NO
3,Sentence: 1,รัฐมนตรีว่าการ,O,NO
4,Sentence: 1,กระทรวง,O,front_org
5,Sentence: 1,เกษตร,org_start,NO
6,Sentence: 1,และ,org_cont,location_name
7,Sentence: 1,สหกรณ์,org_end,front_org
8,Sentence: 1,และ,O,location_name
9,Sentence: 1,เลขาธิการ,O,NO
10,Sentence: 1,พรรค,O,NO
11,Sentence: 1,ชาติไทย,org,NO
12,Sentence: 1,"
ได้",O,NO
13,Sentence: 1,เปิด,O,NO
14,Sentence: 1,แถลงข่าว,O,NO
15,Sentence: 1,อย่าง,O,NO
16,Sentence: 1,เป็น,O,NO
17,Sentence: 1,ทางการ,O,NO
18,Sentence: 1,ต่อ,O,NO
19,Sentence: 1,กระแส,O,NO
20,Sentence: 1,ข่าว,O,NO
21,Sentence: 1,จะ,O,NO
22,Sentence: 1,ถูก,O,NO
23,Sentence: 1,ปรับ,O,NO
24,Sentence: 1,ออก,O,NO
25,Sentence: 1,จาก,O,NO
26,Sentence: 1,ตำแหน่ง,O,NO
27,Sentence: 1,รมว.,O,NO
28,Sentence: 1,เกษตร,org_start,NO
29,Sentence: 1,ฯ,org_end,NO
30,Sentence: 1,"
ว่า",O,NO
31,Sentence: 1,ยัง,O,NO
32,Sentence: 1,ไม่,O,NO
33,Sentence: 1,ได้,O,NO
34,Sentence: 1,รับ,O,NO
35,Sentence: 1,ทราบ,O,NO
36,Sentence: 1,อย่าง,O,NO
37,Sentence: 1,เป็น,O,NO
38,Sentence: 1,ทางการ,O,NO
39,Sentence: 1,"
""",O,NO
40,Sentence: 1,ผม,O,NO
41,Sentence: 1,ก็,O,NO
42,Sentence: 1,เคย,O,NO
43,Sentence: 1,บอก,O,NO
44,Sentence: 1,แล้ว,O,NO
45,Sentence: 1,ว่า,O,NO
46,Sentence: 1,ไม่,O,NO
47,Sentence: 1,เคย,O,NO
48,Sentence: 1,เข้า,O,NO
49,Sentence: 1,บ่อน,O,front_org
50,Sentence: 1,ไม่,O,NO
51,Sentence: 1,เคย,O,NO
52,Sentence: 1,เข้า,O,NO
53,Sentence: 1,กาสิโน,O,NO
54,Sentence: 1,"
และ",O,NO
55,Sentence: 1,ไม่,O,NO
56,Sentence: 1,มี,O,NO
57,Sentence: 1,ญาติ,O,NO
58,Sentence: 1,พี่น้อง,O,NO
59,Sentence: 1,อยู่,O,NO
60,Sentence: 1,ใน,O,NO
61,Sentence: 1,บ่อน,O,front_org
62,Sentence: 1,ด้วย,O,NO
63,Sentence: 1,"""",O,NO
64,Sentence: 1,นาย,O,front_person
65,Sentence: 1,ปองพล,per,NO
66,Sentence: 1,กล่าว,O,NO
67,Sentence: 1,"
นาย",O,NO
68,Sentence: 1,ปองพล,O,NO
69,Sentence: 1,ย้ำ,O,NO
70,Sentence: 1,ว่า,O,NO
71,Sentence: 1,การ,O,front_org
72,Sentence: 1,เดินทาง,O,NO
73,Sentence: 1,ไป,O,NO
74,Sentence: 1,ต่าง,O,NO
75,Sentence: 1,ประเทศ,O,NO
76,Sentence: 1,ครั้ง,O,NO
77,Sentence: 1,นี้,O,NO
78,Sentence: 1,ไม่,O,NO
79,Sentence: 1,ได้,O,NO
80,Sentence: 1,ไปเที่ยว,O,NO
81,Sentence: 1,แต่,O,NO
82,Sentence: 1,ไป,O,NO
83,Sentence: 1,ทำงาน,O,NO
84,Sentence: 1,"
และ",O,NO
85,Sentence: 1,ก่อน,O,NO
86,Sentence: 1,เดินทาง,O,NO
87,Sentence: 1,ก็,O,NO
88,Sentence: 1,ได้,O,NO
89,Sentence: 1,ขอ,O,NO
90,Sentence: 1,อนุญาต,O,NO
91,Sentence: 1,นายกรัฐมนตรี,O,NO
92,Sentence: 1,ทุก,O,NO
93,Sentence: 1,ครั้ง,O,NO
94,Sentence: 1,"
อีกทั้ง",O,NO
95,Sentence: 1,ก่อน,O,NO
96,Sentence: 1,เดินทาง,O,NO
97,Sentence: 1,ไป,O,NO
98,Sentence: 1,ก็,O,NO
99,Sentence: 1,ได้,O,NO
100,Sentence: 1,หารือ,O,NO
101,Sentence: 1,กับ,O,NO
102,Sentence: 1,รมว.,O,NO
103,Sentence: 1,ต่าง,org_start,NO
104,Sentence: 1,ประเทศ,org_end,NO
105,Sentence: 1,ด้วย,O,NO
106,Sentence: 1,เพราะ,O,NO
107,Sentence: 1,งาน,O,NO
108,Sentence: 1,ที่,O,NO
109,Sentence: 1,ไป,O,NO
110,Sentence: 1,เป็น,O,NO
111,Sentence: 1,การ,O,front_org
112,Sentence: 1,ไป,O,NO
113,Sentence: 1,ดู,O,NO
114,Sentence: 1,เรื่อง,O,NO
115,Sentence: 1,การ,O,front_org
116,Sentence: 1,ประมง,O,NO
117,Sentence: 1,"
นาย",O,NO
118,Sentence: 1,ปองพล,O,NO
119,Sentence: 1,กล่าว,O,NO
120,Sentence: 1,ต่อไป,O,NO
121,Sentence: 1,ว่า,O,NO
122,Sentence: 1,หลังจากที่,O,NO
123,Sentence: 1,ได้,O,NO
124,Sentence: 1,เดินทาง,O,NO
125,Sentence: 1,กลับ,O,NO
126,Sentence: 1,มา,O,NO
127,Sentence: 1,ถึง,O,NO
128,Sentence: 1,แล้ว,O,NO
129,Sentence: 1,ก็,O,NO
130,Sentence: 1,มี,O,NO
131,Sentence: 1,ความ,O,NO
132,Sentence: 1,ตั้งใจ,O,location_name
133,Sentence: 1,ว่า,O,NO
134,Sentence: 1,ภายใน,O,NO
135,Sentence: 1,เย็น,O,NO
136,Sentence: 1,วัน,O,NO
137,Sentence: 1,เดียวกัน,O,NO
138,Sentence: 1,จะ,O,NO
139,Sentence: 1,เข้า,O,NO
140,Sentence: 1,พบ,O,NO
141,Sentence: 1,และ,O,location_name
142,Sentence: 1,หารือ,O,NO
143,Sentence: 1,กับ,O,NO
144,Sentence: 1,หัวหน้า,O,NO
145,Sentence: 1,พรรค,O,NO
146,Sentence: 1,ชาติไทย,org,NO
147,Sentence: 1,"
เลขาธิการ",O,NO
148,Sentence: 1,พรรค,O,NO
149,Sentence: 1,ชาติไทย,org,NO
150,Sentence: 1,กล่าว,O,NO
151,Sentence: 1,"
สำหรับ",O,NO
152,Sentence: 1,การ,O,front_org
153,Sentence: 1,ปรับ,O,NO
154,Sentence: 1,ครม.,O,NO
155,Sentence: 1,ของ,O,NO
156,Sentence: 1,พรรค,O,NO
157,Sentence: 1,ชาติไทย,org,NO
158,Sentence: 1,นั้น,O,NO
159,Sentence: 1,"
นาย",O,NO
160,Sentence: 1,บรรหาร,O,NO
161,Sentence: 1,ได้,O,NO
162,Sentence: 1,โยก,O,NO
163,Sentence: 1,นาย,O,front_person
164,Sentence: 1,ปองพล,per,NO
165,Sentence: 1,ไป,O,NO
166,Sentence: 1,นั่ง,O,NO
167,Sentence: 1,รอง,O,NO
168,Sentence: 1,นายกรัฐมนตรี,O,NO
169,Sentence: 1,แทน,O,NO
170,Sentence: 1,นาย,O,front_person
171,Sentence: 1,ปัญจะ,O,NO
172,Sentence: 1,เกสรทอง,O,NO
173,Sentence: 1,ที่,O,NO
174,Sentence: 1,ลา,O,NO
175,Sentence: 1,ออก,O,NO
176,Sentence: 1,จาก,O,NO
177,Sentence: 1,ตำแหน่ง,O,NO
178,Sentence: 1,"
แล้ว",O,NO
179,Sentence: 1,ให้,O,NO
180,Sentence: 1,นาย,O,front_person
181,Sentence: 1,ประภัตร,per,NO
182,Sentence: 1,โพธสุธน,O,NO
183,Sentence: 1,รมช.,O,NO
184,Sentence: 1,มหาดไทย,org,location_name
185,Sentence: 1,มา,O,NO
186,Sentence: 1,รับ,O,NO
187,Sentence: 1,ตำแหน่ง,O,NO
188,Sentence: 1,รมว.,O,NO
189,Sentence: 1,เกษตร,org_start,NO
190,Sentence: 1,ฯ,org_end,NO
191,Sentence: 1,"
นาย",O,NO
192,Sentence: 1,สนธยา,O,NO
193,Sentence: 1,คุณปลื้ม,O,NO
194,Sentence: 1,รมช.,O,NO
195,Sentence: 1,คมนาคม,org,NO
196,Sentence: 1,มา,O,NO
197,Sentence: 1,รับ,O,NO
198,Sentence: 1,ตำแหน่ง,O,NO
199,Sentence: 1,รมช.,O,NO
200,Sentence: 1,มหาดไทย,org,location_name
201,Sentence: 1,"
ส่วน",O,NO
202,Sentence: 1,นาย,O,front_person
203,Sentence: 1,จองชัย,per,NO
204,Sentence: 1,เที่ยงธรรม,O,NO
205,Sentence: 1,รมช.,O,NO
206,Sentence: 1,แรงงาน,org_start,NO
207,Sentence: 1,ฯ,org_end,NO
208,Sentence: 1,มา,O,NO
209,Sentence: 1,รับ,O,NO
210,Sentence: 1,ตำแหน่ง,O,NO
211,Sentence: 1,รมช.,O,NO
212,Sentence: 1,คมนาคม,org,NO
213,Sentence: 1,"
สำหรับ",O,NO
214,Sentence: 1,รัฐมนตรี,O,front_person
215,Sentence: 1,หน้า,O,NO
216,Sentence: 1,ใหม่,O,location_name
217,Sentence: 1,ของ,O,NO
218,Sentence: 1,พรรค,O,NO
219,Sentence: 1,ชาติไทย,org,NO
220,Sentence: 1,คือ,O,NO
221,Sentence: 1,นาย,O,front_person
222,Sentence: 1,ประยุทธ์,per,NO
223,Sentence: 1,ศิริพานิช,O,NO
224,Sentence: 1,รับ,O,NO
225,Sentence: 1,ตำแหน่ง,O,NO
226,Sentence: 1,รมช.,O,NO
227,Sentence: 1,แรงงาน,org_start,NO
228,Sentence: 1,ฯ,org_end,NO
229,Sentence: 1,"
นาย",O,NO
230,Sentence: 1,ปองพล,O,NO
231,Sentence: 1,ย้ำ,O,NO
232,Sentence: 1,อีก,O,NO
233,Sentence: 1,ครั้ง,O,NO
234,Sentence: 1,ว่า,O,NO
235,Sentence: 1,การ,O,front_org
236,Sentence: 1,ปรับ,O,NO
237,Sentence: 1,เปลี่ยน,O,location_name
238,Sentence: 1,ตำแหน่ง,O,NO
239,Sentence: 1,ถ้า,O,NO
240,Sentence: 1,เป็น,O,NO
241,Sentence: 1,มติ,O,NO
242,Sentence: 1,พรรค,O,NO
243,Sentence: 1,ก็,O,NO
244,Sentence: 1,ไม่,O,NO
245,Sentence: 1,มี,O,NO
246,Sentence: 1,ปัญหา,O,NO
247,Sentence: 1,"
ผู้",O,NO
248,Sentence: 1,สื่อ,O,NO
249,Sentence: 1,ข่าว,O,NO
250,Sentence: 1,ถาม,O,location_name
251,Sentence: 1,ว่า,O,NO
252,Sentence: 1,การ,O,front_org
253,Sentence: 1,ถูก,O,NO
254,Sentence: 1,ปรับ,O,NO
255,Sentence: 1,ครม.,O,NO
256,Sentence: 1,ครั้ง,O,NO
257,Sentence: 1,นี้,O,NO
258,Sentence: 1,มี,O,NO
259,Sentence: 1,ส่วน,O,NO
260,Sentence: 1,เกี่ยวข้อง,O,NO
261,Sentence: 1,กับ,O,NO
262,Sentence: 1,เรื่อง,O,NO
