,Sentence #,Word,Tag,Dictionary,Predict
0,Sentence: 1,นาย,O,front_person,O
1,Sentence: 1,พินิจ,per_start,NO,per_start
2,Sentence: 1, ,per_cont,NO,per_cont
3,Sentence: 1,จารุสมบัติ,per_end,NO,per_end
4,Sentence: 1,รัฐมนตรีช่วยว่าการ,O,NO,O
5,Sentence: 1,กระทรวง,O,front_org,O
6,Sentence: 1,มหาดไทย,org,location_name,org
7,Sentence: 1,หัวหน้า,O,NO,O
8,Sentence: 1,พรรค,O,NO,O
9,Sentence: 1,เสรีธรรม,org,NO,org
10,Sentence: 1,กล่าวถึง,O,NO,O
11,Sentence: 1,ความ,O,NO,O
12,Sentence: 1,คืบหน้า,O,NO,O
13,Sentence: 1,"
ใน",O,NO,O
14,Sentence: 1,การ,O,front_org,O
15,Sentence: 1,รวม,O,NO,O
16,Sentence: 1,พรรค,O,NO,O
17,Sentence: 1,ราษฎร,org,NO,O
18,Sentence: 1,กับ,O,NO,O
19,Sentence: 1,พรรค,O,NO,O
20,Sentence: 1,เสรีธรรม,org,NO,org
21,Sentence: 1,ว่า,O,NO,O
22,Sentence: 1,ขณะนี้,O,NO,O
23,Sentence: 1,เป็น,O,NO,O
24,Sentence: 1,แต่,O,NO,O
25,Sentence: 1,เพียง,O,NO,O
26,Sentence: 1,การ,O,front_org,O
27,Sentence: 1,พูดคุย,O,NO,O
28,Sentence: 1,ใน,O,NO,O
29,Sentence: 1,เบื้องต้น,O,NO,O
30,Sentence: 1,เท่านั้น,O,NO,O
31,Sentence: 1,"
ซึ่ง",O,NO,O
32,Sentence: 1,คง,O,NO,O
33,Sentence: 1,จะ,O,NO,O
34,Sentence: 1,ต้อง,O,NO,O
35,Sentence: 1,มี,O,NO,O
36,Sentence: 1,การ,O,front_org,O
37,Sentence: 1,พูดคุย,O,NO,O
38,Sentence: 1,กัน,O,NO,O
39,Sentence: 1,ไป,O,NO,O
40,Sentence: 1,เรื่อย,O,NO,O
41,Sentence: 1,ๆ,O,NO,O
42,Sentence: 1,กับ,O,NO,O
43,Sentence: 1,นาย,O,front_person,O
44,Sentence: 1,วัฒนา,per_start,location_name,per_start
45,Sentence: 1, ,per_cont,NO,per_cont
46,Sentence: 1,อัศวเหม,per_end,NO,per_end
47,Sentence: 1,รัฐมนตรีช่วยว่าการ,O,NO,O
48,Sentence: 1,กระทรวง,O,front_org,O
49,Sentence: 1,มหาดไทย,org,location_name,org
50,Sentence: 1,ใน,O,NO,O
51,Sentence: 1,ฐานะ,O,NO,O
52,Sentence: 1,ประธาน,O,NO,O
53,Sentence: 1,ที่ปรึกษา,O,NO,O
54,Sentence: 1,พรรค,O,NO,O
55,Sentence: 1,ราษฎร,org,NO,O
56,Sentence: 1,"
นาย",O,NO,O
57,Sentence: 1,พินิจ,per,NO,O
58,Sentence: 1,บอก,O,NO,O
59,Sentence: 1,ว่า,O,NO,O
60,Sentence: 1,สิ่ง,O,NO,O
61,Sentence: 1,สำคัญ,O,NO,O
62,Sentence: 1,ที่,O,NO,O
63,Sentence: 1,ต้อง,O,NO,O
64,Sentence: 1,พูดคุย,O,NO,O
65,Sentence: 1,กัน,O,NO,O
66,Sentence: 1,ให้,O,NO,O
67,Sentence: 1,เป็น,O,NO,O
68,Sentence: 1,ที่,O,NO,O
69,Sentence: 1,เข้าใจ,O,NO,O
70,Sentence: 1,ก็,O,NO,O
71,Sentence: 1,คือ,O,NO,O
72,Sentence: 1,หาก,O,NO,O
73,Sentence: 1,จะ,O,NO,O
74,Sentence: 1,มี,O,NO,O
75,Sentence: 1,การ,O,front_org,O
76,Sentence: 1,รวม,O,NO,O
77,Sentence: 1,พรรค,O,NO,O
78,Sentence: 1,เกิด,O,NO,O
79,Sentence: 1,ขึ้น,O,NO,O
80,Sentence: 1,จริง,O,NO,O
81,Sentence: 1,จะ,O,NO,O
82,Sentence: 1,ต้อง,O,NO,O
83,Sentence: 1,ไม่,O,NO,O
84,Sentence: 1,มี,O,NO,O
85,Sentence: 1,การ,O,front_org,O
86,Sentence: 1,เปลี่ยน,O,location_name,O
87,Sentence: 1,ชื่อ,O,front_person,O
88,Sentence: 1,พรรค,O,NO,O
89,Sentence: 1,เสรีธรรม,org,NO,org
90,Sentence: 1,เป็น,O,NO,O
91,Sentence: 1,ชื่อ,O,front_person,O
92,Sentence: 1,อื่น,O,NO,O
93,Sentence: 1,"
และ",O,NO,O
94,Sentence: 1,ผู้,O,NO,O
95,Sentence: 1,ที่,O,NO,O
96,Sentence: 1,จะ,O,NO,O
97,Sentence: 1,มา,O,NO,O
98,Sentence: 1,ดำรง,O,NO,O
99,Sentence: 1,ตำแหน่ง,O,NO,O
100,Sentence: 1,หัวหน้า,O,NO,O
101,Sentence: 1,พรรค,O,NO,O
102,Sentence: 1,จะ,O,NO,O
103,Sentence: 1,ต้อง,O,NO,O
104,Sentence: 1,เป็น,O,NO,O
105,Sentence: 1,คน,O,NO,O
106,Sentence: 1,อีสาน,O,NO,O
107,Sentence: 1,เท่านั้น,O,NO,O
108,Sentence: 1,"
เพราะฉะนั้น",O,NO,O
109,Sentence: 1,คง,O,NO,O
110,Sentence: 1,เป็นไป,O,NO,O
111,Sentence: 1,ไม่,O,NO,O
112,Sentence: 1,ได้,O,NO,O
113,Sentence: 1,ที่,O,NO,O
114,Sentence: 1,จะ,O,NO,O
115,Sentence: 1,ให้,O,NO,O
116,Sentence: 1,พล.อ.อ.,O,front_person,O
117,Sentence: 1,สมบุญ,per_start,NO,per_start
118,Sentence: 1, ,per_cont,NO,per_cont
119,Sentence: 1,ระหงษ์,per_end,NO,per_end
120,Sentence: 1,หัวหน้า,O,NO,O
121,Sentence: 1,พรรค,O,NO,O
122,Sentence: 1,ราษฎร,org,NO,O
123,Sentence: 1,มา,O,NO,O
124,Sentence: 1,ดำรง,O,NO,O
125,Sentence: 1,ตำแหน่ง,O,NO,O
126,Sentence: 1,หัวหน้า,O,NO,O
127,Sentence: 1,พรรค,O,NO,O
128,Sentence: 1,ตามที่,O,NO,O
129,Sentence: 1,นาย,O,front_person,O
130,Sentence: 1,วัฒนา,per,location_name,per
131,Sentence: 1,ต้องการ,O,NO,O
132,Sentence: 1,"
ใน",O,NO,O
133,Sentence: 1,หลักการ,O,NO,O
134,Sentence: 1,ของ,O,NO,O
135,Sentence: 1,พรรค,O,NO,O
136,Sentence: 1,เสรีธรรม,org,NO,O
137,Sentence: 1,หนึ่ง,O,NO,O
138,Sentence: 1,หัวหน้า,O,NO,O
139,Sentence: 1,พรรค,O,NO,O
140,Sentence: 1,ต้อง,O,NO,O
141,Sentence: 1,เป็น,O,NO,O
142,Sentence: 1,คน,O,NO,O
143,Sentence: 1,อีสาน,O,NO,O
144,Sentence: 1,"
สอง",O,NO,O
145,Sentence: 1,ชื่อ,O,front_person,O
146,Sentence: 1,พรรค,O,NO,O
147,Sentence: 1,เรา,O,NO,O
148,Sentence: 1,ได้รับ,O,NO,O
149,Sentence: 1,เสียง,O,NO,O
150,Sentence: 1,สะท้อน,O,location_name,O
151,Sentence: 1,กลับ,O,NO,O
152,Sentence: 1,มา,O,NO,O
153,Sentence: 1,จาก,O,NO,O
154,Sentence: 1,สมาชิก,O,location_name,O
155,Sentence: 1,และ,O,location_name,O
156,Sentence: 1,ประชาชน,O,NO,O
157,Sentence: 1,ภาค,O,NO,O
158,Sentence: 1,เหนือ,O,location_name,O
159,Sentence: 1,และ,O,location_name,O
160,Sentence: 1,ภาค,O,NO,O
161,Sentence: 1,อีสาน,O,NO,O
162,Sentence: 1,ที่,O,NO,O
163,Sentence: 1,ให้การ,O,NO,O
164,Sentence: 1,สนับสนุน,O,NO,O
165,Sentence: 1,พรรค,O,NO,O
166,Sentence: 1,ว่า,O,NO,O
167,Sentence: 1,ไม่,O,NO,O
168,Sentence: 1,ยอม,O,NO,O
169,Sentence: 1,เด็ดขาด,O,NO,O
170,Sentence: 1,ที่,O,NO,O
171,Sentence: 1,จะ,O,NO,O
172,Sentence: 1,ให้,O,NO,O
173,Sentence: 1,เปลี่ยน,O,location_name,O
174,Sentence: 1,ชื่อ,O,front_person,O
175,Sentence: 1,พรรค,O,NO,O
176,Sentence: 1,"
นาย",O,NO,O
177,Sentence: 1,พินิจ,per,NO,O
178,Sentence: 1,ยัง,O,NO,O
179,Sentence: 1,กล่าว,O,NO,O
180,Sentence: 1,ว่า,O,NO,O
181,Sentence: 1,ขณะนี้,O,NO,O
182,Sentence: 1,พรรค,O,NO,O
183,Sentence: 1,เสรีธรรม,org,NO,org
184,Sentence: 1,ได้,O,NO,O
185,Sentence: 1,ดำเนิน,O,NO,O
186,Sentence: 1,กิจกรรม,O,NO,O
187,Sentence: 1,ทาง,O,NO,O
188,Sentence: 1,การ,O,front_org,O
189,Sentence: 1,เมือง,O,location_name,O
190,Sentence: 1,มา,O,NO,O
191,Sentence: 1,ไกล,O,NO,O
192,Sentence: 1,เกิน,O,NO,O
193,Sentence: 1,กว่า,O,NO,O
194,Sentence: 1,ที่,O,NO,O
195,Sentence: 1,จะ,O,NO,O
196,Sentence: 1,ถอยหลัง,O,NO,O
197,Sentence: 1,กลับ,O,NO,O
198,Sentence: 1,ไป,O,NO,O
199,Sentence: 1,เริ่มต้น,O,NO,O
200,Sentence: 1,ใหม่,O,location_name,O
201,Sentence: 1,"
และ",O,NO,O
202,Sentence: 1,ว่า,O,NO,O
203,Sentence: 1,มี,O,NO,O
204,Sentence: 1,ความ,O,NO,O
205,Sentence: 1,เป็นไปได้,O,NO,O
206,Sentence: 1,ง่าย,O,NO,O
207,Sentence: 1,กว่า,O,NO,O
208,Sentence: 1,หาก,O,NO,O
209,Sentence: 1,พรรค,O,NO,O
210,Sentence: 1,เสรีธรรม,org,NO,org
211,Sentence: 1,และ,O,location_name,O
212,Sentence: 1,พรรค,O,NO,O
213,Sentence: 1,ราษฎร,org,NO,O
214,Sentence: 1,จะ,O,NO,O
215,Sentence: 1,ตกลง,O,NO,O
216,Sentence: 1,เป็น,O,NO,O
217,Sentence: 1,พันธมิตร,O,NO,O
218,Sentence: 1,ทาง,O,NO,O
219,Sentence: 1,การเมือง,O,NO,O
