,Sentence #,Word,Tag,Dictionary
0,Sentence: 1,นาย,O,front_person
1,Sentence: 1,พินิจ,per_start,NO
2,Sentence: 1, ,per_cont,NO
3,Sentence: 1,จารุสมบัติ,per_end,NO
4,Sentence: 1,รัฐมนตรีช่วยว่าการ,O,NO
5,Sentence: 1,กระทรวง,O,front_org
6,Sentence: 1,มหาดไทย,org,location_name
7,Sentence: 1,หัวหน้า,O,NO
8,Sentence: 1,พรรค,O,NO
9,Sentence: 1,เสรีธรรม,org,NO
10,Sentence: 1,กล่าวถึง,O,NO
11,Sentence: 1,ความ,O,NO
12,Sentence: 1,คืบหน้า,O,NO
13,Sentence: 1,"
ใน",O,NO
14,Sentence: 1,การ,O,front_org
15,Sentence: 1,รวม,O,NO
16,Sentence: 1,พรรค,O,NO
17,Sentence: 1,ราษฎร,O,NO
18,Sentence: 1,กับ,O,NO
19,Sentence: 1,พรรค,O,NO
20,Sentence: 1,เสรีธรรม,org,NO
21,Sentence: 1,ว่า,O,NO
22,Sentence: 1,ขณะนี้,O,NO
23,Sentence: 1,เป็น,O,NO
24,Sentence: 1,แต่,O,NO
25,Sentence: 1,เพียง,O,NO
26,Sentence: 1,การ,O,front_org
27,Sentence: 1,พูดคุย,O,NO
28,Sentence: 1,ใน,O,NO
29,Sentence: 1,เบื้องต้น,O,NO
30,Sentence: 1,เท่านั้น,O,NO
31,Sentence: 1,"
ซึ่ง",O,NO
32,Sentence: 1,คง,O,NO
33,Sentence: 1,จะ,O,NO
34,Sentence: 1,ต้อง,O,NO
35,Sentence: 1,มี,O,NO
36,Sentence: 1,การ,O,front_org
37,Sentence: 1,พูดคุย,O,NO
38,Sentence: 1,กัน,O,NO
39,Sentence: 1,ไป,O,NO
40,Sentence: 1,เรื่อย,O,NO
41,Sentence: 1,ๆ,O,NO
42,Sentence: 1,กับ,O,NO
43,Sentence: 1,นาย,O,front_person
44,Sentence: 1,วัฒนา,per_start,location_name
45,Sentence: 1, ,per_cont,NO
46,Sentence: 1,อัศวเหม,per_end,NO
47,Sentence: 1,รัฐมนตรีช่วยว่าการ,O,NO
48,Sentence: 1,กระทรวง,O,front_org
49,Sentence: 1,มหาดไทย,org,location_name
50,Sentence: 1,ใน,O,NO
51,Sentence: 1,ฐานะ,O,NO
52,Sentence: 1,ประธาน,O,NO
53,Sentence: 1,ที่ปรึกษา,O,NO
54,Sentence: 1,พรรค,O,NO
55,Sentence: 1,ราษฎร,O,NO
56,Sentence: 1,"
นาย",O,NO
57,Sentence: 1,พินิจ,O,NO
58,Sentence: 1,บอก,O,NO
59,Sentence: 1,ว่า,O,NO
60,Sentence: 1,สิ่ง,O,NO
61,Sentence: 1,สำคัญ,O,NO
62,Sentence: 1,ที่,O,NO
63,Sentence: 1,ต้อง,O,NO
64,Sentence: 1,พูดคุย,O,NO
65,Sentence: 1,กัน,O,NO
66,Sentence: 1,ให้,O,NO
67,Sentence: 1,เป็น,O,NO
68,Sentence: 1,ที่,O,NO
69,Sentence: 1,เข้าใจ,O,NO
70,Sentence: 1,ก็,O,NO
71,Sentence: 1,คือ,O,NO
72,Sentence: 1,หาก,O,NO
73,Sentence: 1,จะ,O,NO
74,Sentence: 1,มี,O,NO
75,Sentence: 1,การ,O,front_org
76,Sentence: 1,รวม,O,NO
77,Sentence: 1,พรรค,O,NO
78,Sentence: 1,เกิด,O,NO
79,Sentence: 1,ขึ้น,O,NO
80,Sentence: 1,จริง,O,NO
81,Sentence: 1,จะ,O,NO
82,Sentence: 1,ต้อง,O,NO
83,Sentence: 1,ไม่,O,NO
84,Sentence: 1,มี,O,NO
85,Sentence: 1,การ,O,front_org
86,Sentence: 1,เปลี่ยน,O,location_name
87,Sentence: 1,ชื่อ,O,front_person
88,Sentence: 1,พรรค,O,NO
89,Sentence: 1,เสรีธรรม,org,NO
90,Sentence: 1,เป็น,O,NO
91,Sentence: 1,ชื่อ,O,front_person
92,Sentence: 1,อื่น,O,NO
93,Sentence: 1,"
และ",O,NO
94,Sentence: 1,ผู้,O,NO
95,Sentence: 1,ที่,O,NO
96,Sentence: 1,จะ,O,NO
97,Sentence: 1,มา,O,NO
98,Sentence: 1,ดำรง,O,NO
99,Sentence: 1,ตำแหน่ง,O,NO
100,Sentence: 1,หัวหน้า,O,NO
101,Sentence: 1,พรรค,O,NO
102,Sentence: 1,จะ,O,NO
103,Sentence: 1,ต้อง,O,NO
104,Sentence: 1,เป็น,O,NO
105,Sentence: 1,คน,O,NO
106,Sentence: 1,อีสาน,O,NO
107,Sentence: 1,เท่านั้น,O,NO
108,Sentence: 1,"
เพราะฉะนั้น",O,NO
109,Sentence: 1,คง,O,NO
110,Sentence: 1,เป็นไป,O,NO
111,Sentence: 1,ไม่,O,NO
112,Sentence: 1,ได้,O,NO
113,Sentence: 1,ที่,O,NO
114,Sentence: 1,จะ,O,NO
115,Sentence: 1,ให้,O,NO
116,Sentence: 1,พล.อ.อ.,O,front_person
117,Sentence: 1,สมบุญ,per_start,NO
118,Sentence: 1, ,per_cont,NO
119,Sentence: 1,ระหงษ์,per_end,NO
120,Sentence: 1,หัวหน้า,O,NO
121,Sentence: 1,พรรค,O,NO
122,Sentence: 1,ราษฎร,O,NO
123,Sentence: 1,มา,O,NO
124,Sentence: 1,ดำรง,O,NO
125,Sentence: 1,ตำแหน่ง,O,NO
126,Sentence: 1,หัวหน้า,O,NO
127,Sentence: 1,พรรค,O,NO
128,Sentence: 1,ตามที่,O,NO
129,Sentence: 1,นาย,O,front_person
130,Sentence: 1,วัฒนา,per,location_name
131,Sentence: 1,ต้องการ,O,NO
132,Sentence: 1,"
ใน",O,NO
133,Sentence: 1,หลักการ,O,NO
134,Sentence: 1,ของ,O,NO
135,Sentence: 1,พรรค,O,NO
136,Sentence: 1,เสรีธรรม,O,NO
137,Sentence: 1,หนึ่ง,O,NO
138,Sentence: 1,หัวหน้า,O,NO
139,Sentence: 1,พรรค,O,NO
140,Sentence: 1,ต้อง,O,NO
141,Sentence: 1,เป็น,O,NO
142,Sentence: 1,คน,O,NO
143,Sentence: 1,อีสาน,O,NO
144,Sentence: 1,"
สอง",O,NO
145,Sentence: 1,ชื่อ,O,front_person
146,Sentence: 1,พรรค,O,NO
147,Sentence: 1,เรา,O,NO
148,Sentence: 1,ได้รับ,O,NO
149,Sentence: 1,เสียง,O,NO
150,Sentence: 1,สะท้อน,O,location_name
151,Sentence: 1,กลับ,O,NO
152,Sentence: 1,มา,O,NO
153,Sentence: 1,จาก,O,NO
154,Sentence: 1,สมาชิก,O,location_name
155,Sentence: 1,และ,O,location_name
156,Sentence: 1,ประชาชน,O,NO
157,Sentence: 1,ภาค,O,NO
158,Sentence: 1,เหนือ,O,location_name
159,Sentence: 1,และ,O,location_name
160,Sentence: 1,ภาค,O,NO
161,Sentence: 1,อีสาน,O,NO
162,Sentence: 1,ที่,O,NO
163,Sentence: 1,ให้การ,O,NO
164,Sentence: 1,สนับสนุน,O,NO
165,Sentence: 1,พรรค,O,NO
166,Sentence: 1,ว่า,O,NO
167,Sentence: 1,ไม่,O,NO
168,Sentence: 1,ยอม,O,NO
169,Sentence: 1,เด็ดขาด,O,NO
170,Sentence: 1,ที่,O,NO
171,Sentence: 1,จะ,O,NO
172,Sentence: 1,ให้,O,NO
173,Sentence: 1,เปลี่ยน,O,location_name
174,Sentence: 1,ชื่อ,O,front_person
175,Sentence: 1,พรรค,O,NO
176,Sentence: 1,"
นาย",O,NO
177,Sentence: 1,พินิจ,O,NO
178,Sentence: 1,ยัง,O,NO
179,Sentence: 1,กล่าว,O,NO
180,Sentence: 1,ว่า,O,NO
181,Sentence: 1,ขณะนี้,O,NO
182,Sentence: 1,พรรค,O,NO
183,Sentence: 1,เสรีธรรม,org,NO
184,Sentence: 1,ได้,O,NO
185,Sentence: 1,ดำเนิน,O,NO
186,Sentence: 1,กิจกรรม,O,NO
187,Sentence: 1,ทาง,O,NO
188,Sentence: 1,การ,O,front_org
189,Sentence: 1,เมือง,O,location_name
190,Sentence: 1,มา,O,NO
191,Sentence: 1,ไกล,O,NO
192,Sentence: 1,เกิน,O,NO
193,Sentence: 1,กว่า,O,NO
194,Sentence: 1,ที่,O,NO
195,Sentence: 1,จะ,O,NO
196,Sentence: 1,ถอยหลัง,O,NO
197,Sentence: 1,กลับ,O,NO
198,Sentence: 1,ไป,O,NO
199,Sentence: 1,เริ่มต้น,O,NO
200,Sentence: 1,ใหม่,O,location_name
201,Sentence: 1,"
และ",O,NO
202,Sentence: 1,ว่า,O,NO
203,Sentence: 1,มี,O,NO
204,Sentence: 1,ความ,O,NO
205,Sentence: 1,เป็นไปได้,O,NO
206,Sentence: 1,ง่าย,O,NO
207,Sentence: 1,กว่า,O,NO
208,Sentence: 1,หาก,O,NO
209,Sentence: 1,พรรค,O,NO
210,Sentence: 1,เสรีธรรม,org,NO
211,Sentence: 1,และ,O,location_name
212,Sentence: 1,พรรค,O,NO
213,Sentence: 1,ราษฎร,O,NO
214,Sentence: 1,จะ,O,NO
215,Sentence: 1,ตกลง,O,NO
216,Sentence: 1,เป็น,O,NO
217,Sentence: 1,พันธมิตร,O,NO
218,Sentence: 1,ทาง,O,NO
219,Sentence: 1,การเมือง,O,NO
220,Sentence: 1,ร่วม,O,NO
221,Sentence: 1,กัน,O,NO
222,Sentence: 1,"
ด้าน",O,NO
223,Sentence: 1,นาย,O,front_person
224,Sentence: 1,วัฒนา,per_start,location_name
225,Sentence: 1, ,per_cont,NO
226,Sentence: 1,อัศวเหม,per_end,NO
227,Sentence: 1,กล่าว,O,NO
228,Sentence: 1,ใน,O,NO
229,Sentence: 1,เรื่อง,O,NO
230,Sentence: 1,เดียวกัน,O,NO
231,Sentence: 1,ว่า,O,NO
232,Sentence: 1,จะ,O,NO
233,Sentence: 1,มี,O,NO
234,Sentence: 1,การ,O,front_org
